JT,IF,ISSN
CARDIOVASC J AFR,1.167,1995-1892
COMPUT SCI INF SYST,1.167,1820-0214
EXP TECHNIQUES,1.167,0732-8818
J SYST SCI SYST ENG,1.167,1004-3756
QUANTUM TOPOL,1.167,1663-487X
J GENET,1.166,0022-1333
CAN MINERAL,1.165,0008-4476
J OVONIC RES,1.165,1842-2403
J AM ASSOC NURSE PRA,1.165,2327-6886
J TROP PEDIATRICS,1.165,0142-6338
CENT EUR J PUBL HEAL,1.163,1210-7778
GEOL SURV DEN GREENL,1.163,1604-8156
ACTA VIROL,1.162,0001-723X
HIST STUD NAT SCI,1.162,1939-1811
PEDIATR NEUROSURG,1.162,1016-2291
RUSS J NUMER ANAL M,1.161,0927-6467
ASTA-ADV STAT ANAL,1.16,1863-8171
BIOCHEM MOL BIOL EDU,1.16,1470-8175
INFORM TECHNOL LIBR,1.16,0730-9295
LASER PART BEAMS,1.16,0263-0346
P YORKS GEOL SOC,1.16,0044-0604
J FOURIER ANAL APPL,1.159,1069-5869
BRAGANTIA,1.158,0006-8705
INT J AEROSPACE ENG,1.158,1687-5966
AM J VET RES,1.156,0002-9645
AUTOMATIKA-UK,1.156,0005-1144
MICROBIOLOGY+,1.156,0026-2617
METROL MEAS SYST,1.155,0860-8229
NEW ZEAL J CROP HORT,1.154,0114-0671
OPER RES LETT,1.154,0167-6377
OPER ORTHOP TRAUMATO,1.154,0934-6694
PROG RUBBER PLAST RE,1.154,1477-7606
REND LINCEI-MAT APPL,1.153,1120-6330
SURF REV LETT,1.152,0218-625X
ELECTRON J PROBAB,1.151,1083-6489
J RAPTOR RES,1.151,0892-1016
LETT DRUG DES DISCOV,1.15,1570-1808
COMPOST SCI UTIL,1.149,1065-657X
FUND APPL LIMNOL,1.148,1863-9135
METHODOL COMPUT APPL,1.147,1387-5841
ADV STEEL CONSTR,1.145,1816-112X
IZV-PHYS SOLID EART+,1.144,1069-3513
J AM SOC HORTIC SCI,1.144,0003-1062
J CHIN INST ENG,1.144,0253-3839
ANN CARNEGIE MUS,1.143,0097-4463
J NEW MUSIC RES,1.143,0929-8215
ACTA MEDICA PORT,1.141,1646-0758
J SHIP PROD DES,1.141,2158-2866
RADIAT EFF DEFECT S,1.141,1042-0150
ACM T ALGORITHMS,1.14,1549-6325
ARKIVOC,1.14,1551-7004
DISCRETE APPL MATH,1.139,0166-218X
J UNIVERS COMPUT SCI,1.139,0948-695X
WOOD RES-SLOVAKIA,1.139,1336-4561
CLIN LAB,1.138,1433-6510
ATEN PRIM,1.137,0212-6567
J LOND MATH SOC,1.137,0024-6107
TAIWAN J MATH,1.136,1027-5487
J ANAL MATH,1.135,0021-7670
NOVA HEDWIGIA,1.135,0029-5035
CHINESE J ANAL CHEM,1.134,0253-3820
HERPETOL CONSERV BIO,1.134,2151-0733
PLANT BIOTECHNOL-NAR,1.133,1342-4580
REV BRAS ENTOMOL,1.133,0085-5626
WATER ECON POLICY,1.133,2382-624X
ALGEBRAIC GEOM,1.132,2313-1691
J FRESHWATER ECOL,1.132,0270-5060
PEDIATR ANN,1.132,0090-4481
INDIANA U MATH J,1.131,0022-2518
NAGOYA J MED SCI,1.131,2186-3326
RANDOM STRUCT ALGOR,1.131,1042-9832
ADV MATH PHYS,1.128,1687-9120
ATMOSFERA,1.128,0187-6236
CONDENS MATTER PHYS,1.128,1607-324X
ELEKTRON ELEKTROTECH,1.128,1392-1215
AATCC J RES,1.127,2330-5517
ARCH MIN SCI,1.127,0860-7001
ACTA AMAZON,1.126,0044-5967
ELECTRON J STAT,1.125,1935-7524
IRISH J AGR FOOD RES,1.125,0791-6833
POL J CHEM TECHNOL,1.125,1509-8117
RESPIR MED RES-FRANC,1.125,****-****
J BIOINF COMPUT BIOL,1.122,0219-7200
GEOTECTONICS+,1.121,0016-8521
P I CIVIL ENG-ENERGY,1.121,1751-4223
RANDOM MATRICES-THEO,1.121,2010-3263
CERNE,1.12,0104-7760
COMMUN MATH SCI,1.12,1539-6746
HETEROCYCL COMMUN,1.12,0793-0283
ENVIRON ECOL STAT,1.119,1352-8505
J MECH,1.119,1727-7191
S AFR J CHEM-S-AFR T,1.119,0379-4350
B SCI MATH,1.118,0007-4497
CAN J CHEM,1.118,0008-4042
COMMUN STAT-SIMUL C,1.118,0361-0918
J ORTHOP SURG-HONG K,1.118,1022-5536
NZ ENTOMOL,1.118,0077-9962
ANTI-CORROS METHOD M,1.117,0003-5599
APPL ONTOL,1.115,1570-5838
INT J AEROACOUST,1.115,1475-472X
ISJ-INVERT SURVIV J,1.115,1824-307X
KNOWL ENG REV,1.115,0269-8889
MAGNESIUM RES,1.115,0953-1424
NEW ZEAL J ZOOL,1.115,0301-4223
ANAT HISTOL EMBRYOL,1.114,0340-2096
CHINESE J CHEM PHYS,1.114,1674-0068
J POWER ELECTRON,1.114,1598-2092
ARCH BUDO,1.113,1643-8698
DYNA-BILBAO,1.113,0012-7361
REHABILITATION,1.113,0034-3536
EMERG MED INT,1.112,2090-2840
ANN SOC ENTOMOL FR,1.111,0037-9271
HIST REC AUST SCI,1.111,0727-3061
J STAT PLAN INFER,1.111,0378-3758
MLJEKARSTVO,1.111,0026-704X
SOMATOSENS MOT RES,1.111,0899-0220
ASIA PAC J OPER RES,1.109,0217-5959
ASTROPHYS BULL,1.109,1990-3413
AUST SYST BOT,1.108,1030-1887
SCHMERZ,1.107,0932-433X
MED PROBL PERFORM AR,1.106,0885-1158
P I CIVIL ENG-TRANSP,1.106,0965-092X
ICHTHYOL RES,1.105,1341-8998
STRATIGRAPHY,1.103,1547-139X
ACTA MATH APPL SIN-E,1.102,0168-9673
CURR SCI INDIA,1.102,0011-3891
GESUNDE PFLANZ,1.102,0367-4223
HELL J NUCL MED,1.102,1790-5427
MICRO NANO LETT,1.102,****-****
J AM HELICOPTER SOC,1.101,0002-8711
PAC SCI,1.101,0030-8870
SYST BOT,1.101,0363-6445
VET ITAL,1.101,0505-401X
FUSION SCI TECHNOL,1.1,1536-1055
ELECTROMAGNETICS,1.099,0272-6343
J AGR SCI TECH-IRAN,1.098,1680-7073
J PSYCHOSOC NURS MEN,1.098,0279-3695
EMERG MATER RES,1.096,2046-0147
J HEALTHC QUAL,1.095,1062-2551
AI MAG,1.094,0738-4602
HIGH TEMP+,1.094,0018-151X
ULTRASTRUCT PATHOL,1.094,0191-3123
ZOOSYSTEMA,1.094,1280-9551
CARDIOL YOUNG,1.093,1047-9511
J APPROX THEORY,1.091,0021-9045
ZOOTAXA,1.091,1175-5326
ACTA CHIR BELG,1.09,0001-5458
RANGELAND J,1.09,1036-9872
DENDROBIOLOGY,1.089,1641-1307
VASC ENDOVASC SURG,1.089,1538-5744
ARCH CONTROL SCI,1.088,2300-2611
MOLLUSCAN RES,1.088,1323-5818
PAK J MED SCI,1.088,1682-024X
PESQUI AGROPECU BRAS,1.088,0100-204X
BIOL ENVIRON,1.087,0791-7945
BIOTECHNOL AGRON SOC,1.087,1370-6233
FIBER INTEGRATED OPT,1.087,0146-8030
HORTTECHNOLOGY,1.087,1063-0198
ORTHOPADE,1.087,0085-4530
ACM T DATABASE SYST,1.086,0362-5915
INT J GLOBAL WARM,1.086,1758-2083
JAAPA-J AM ACAD PHYS,1.086,1547-1896
MECH SCI,1.086,2191-9151
REV ESC ENFERM USP,1.086,0080-6234
TURK J EARTH SCI,1.086,1300-0985
MISKOLC MATH NOTES,1.085,1787-2405
NURS ECON,1.085,0746-1739
PHARMACOGN MAG,1.085,0973-1296
J PERIANESTH NURS,1.084,1089-9472
OPT ENG,1.084,0091-3286
AUST J FORENSIC SCI,1.083,0045-0618
INT J CAST METAL RES,1.083,1364-0461
PHOTOGRAMM ENG REM S,1.083,0099-1112
TRENDS GLYCOSCI GLYC,1.083,0915-7352
ZEMDIRBYSTE,1.083,1392-3196
GENETICA,1.082,0016-6707
INT J TURBO JET ENG,1.082,0334-0082
PHOSPHORUS SULFUR,1.082,1042-6507
PROBL INFORM TRANSM+,1.082,0032-9460
EVOL EQU CONTROL THE,1.081,2163-2480
MOL CELL TOXICOL,1.08,1738-642X
PLANT GENET RESOUR-C,1.08,1479-2621
ANIM SCI PAP REP,1.078,0860-4037
RUSS J ELECTROCHEM+,1.078,1023-1935
TURK J PH MED REHAB,1.078,2587-0823
J AM LEATHER CHEM AS,1.077,0002-9726
SPORTVERLETZ SPORTSC,1.077,0932-0555
ACM T MODEL COMPUT S,1.075,1049-3301
B EUR ASSOC FISH PAT,1.075,0108-0288
DYN GAMES APPL,1.075,2153-0785
J NONLINEAR CONVEX A,1.075,1345-4773
MATH COMMUN,1.075,1331-0623
PHYS CHEM GLASSES-B,1.075,1753-3562
PHYS WAVE PHENOM,1.075,1541-308X
B GEOL SOC FINLAND,1.074,0367-5211
ACTA CHIROPTEROL,1.073,1508-1109
ACTA BIOENG BIOMECH,1.073,1509-409X
ADV APPL CLIFFORD AL,1.072,0188-7009
POL J PATHOL,1.072,1233-9687
SYMMETRY INTEGR GEOM,1.072,1815-0659
CAN J MATH,1.071,0008-414X
ELECTR POW COMPO SYS,1.071,1532-5008
J STRUCT CHEM+,1.071,0022-4766
REV FAC CIENC AGRAR,1.071,****-****
AQUAT INSECT,1.07,0165-0424
NAT LANG ENG,1.07,1351-3249
J ANAL CHEM+,1.069,1061-9348
J ELECTR ENG TECHNOL,1.069,1975-0102
KOVOVE MATER,1.068,0023-432X
MAIN GROUP MET CHEM,1.068,0792-1241
CLIN NURSE SPEC,1.067,0887-6274
EUR J MASS SPECTROM,1.067,1469-0667
FLUID DYN RES,1.067,0169-5983
OPEN PHYS,1.067,2391-5471
CRYOLETTERS,1.066,0143-2044
TRANSPL P,1.066,0041-1345
AUSTRIAN J FOR SCI,1.065,0379-5292
COMBINATORICA,1.065,0209-9683
J CLIN PEDIATR DENT,1.065,1053-4628
INT J MICROW WIREL T,1.064,1759-0787
EQUINE VET EDUC,1.063,0957-7734
PSYCHIAT DANUB,1.063,0353-5053
REV INT ANDROL,1.063,1698-031X
FOLIA ZOOL,1.06,0139-7893
GYNECOL OBST FERT SE,1.06,2468-7197
ANNU REP MED CHEM,1.059,0065-7743
CAMB J MATH,1.059,2168-0930
LAW PROBAB RISK,1.059,1470-8396
OPHTHALMOLOGE,1.059,0941-293X
WEED BIOL MANAG,1.059,1444-6162
BOL INST PESCA,1.058,0046-9939
LARYNGO RHINO OTOL,1.057,0935-8943
METRIKA,1.057,0026-1335
NAGOYA MATH J,1.057,0027-7630
NUTR HOSP,1.057,0212-1611
ACTA CRYSTALLOGR F,1.056,****-****
FORUM MATH,1.056,0933-7741
INT J ACAROL,1.056,0164-7954
J SCI IND RES INDIA,1.056,0022-4456
P I MECH ENG G-J AER,1.056,0954-4100
STRUCT ENG INT,1.056,1016-8664
S AFR J ANIM SCI,1.055,0375-1589
P I CIVIL ENG-WAT M,1.054,1741-7589
VET RES FORUM,1.054,2008-8140
AEROSP MED HUM PERF,1.053,2375-6314
CAH AGRIC,1.053,1166-7699
DISS MATH,1.053,0012-3862
J NONLINEAR MATH PHY,1.053,1402-9251
OCEAN SCI J,1.053,1738-5261
CIVIL ENG,1.051,0885-7024
J BIOPHARM STAT,1.051,1054-3406
J PRESS VESS-T ASME,1.051,0094-9930
STAT ANAL DATA MIN,1.051,1932-1864
STATISTICS-ABINGDON,1.051,0233-1888
POLYM SCI SER B+,1.049,1560-0904
TENSIDE SURFACT DET,1.049,0932-3414
BRAZ J OCEANOGR,1.048,1679-8759
NEW GENERAT COMPUT,1.048,0288-3635
PROG COMPUT FLUID DY,1.048,1468-4349
REV MEX CIENC PECU,1.048,2007-1124
AQUAT ECOSYST HEALTH,1.047,1463-4988
Z NATURFORSCH B,1.047,0932-0776
J CRANIOFAC SURG,1.046,1049-2275
AN STI U OVID CO-MAT,1.045,1224-1784
FIBRES TEXT EAST EUR,1.045,1230-3666
P EST ACAD SCI,1.045,1736-6046
PETROPHYSICS,1.044,1529-9074
REV IBEROAM MICOL,1.044,1130-1406
SAO PAULO MED J,1.044,1516-3180
GLOBAL NEST J,1.042,1790-7632
J APPL PROBAB,1.042,0021-9002
MATH PROC CAMBRIDGE,1.042,0305-0041
NUMER FUNC ANAL OPT,1.042,0163-0563
ANAESTHESIST,1.041,0003-2417
EMIR J FOOD AGR,1.041,2079-052X
J INORG MATER,1.041,1000-324X
J PEDIATR ORTHOP B,1.041,1060-152X
POLYM SCI SER C+,1.041,1811-2382
NORD PULP PAP RES J,1.04,0283-2631
MAIN GROUP CHEM,1.039,1024-1221
PHYTON-INT J EXP BOT,1.039,0031-9457
CONCURRENT ENG-RES A,1.038,1063-293X
PHYSIOTHER CAN,1.037,0300-0508
METALL RES TECHNOL,1.035,2271-3646
B LOND MATH SOC,1.034,0024-6093
J RES NATL INST STAN,1.034,1044-677X
J CHIL CHEM SOC,1.034,0717-9707
RIC MAT,1.034,0035-5038
INT J OPT,1.033,1687-9384
ROM J MORPHOL EMBRYO,1.033,1220-0522
WATER SCI TECH-W SUP,1.033,1606-9749
COMB PROBAB COMPUT,1.032,0963-5483
POSITIVITY,1.03,1385-1292
ADV QUANTUM CHEM,1.029,0065-3276
PETROL CHEM+,1.029,0965-5441
CLIN J ONCOL NURS,1.027,1092-1095
J VET MED EDUC,1.027,0748-321X
REV ROMANA MED LAB,1.027,1841-6624
ACTA ORNITHOL,1.025,0001-6454
SCI PROGRAMMING-NETH,1.025,1058-9244
ZOOL MIDDLE EAST,1.024,0939-7140
J COMPUT SYST SCI,1.023,0022-0000
J AM ANIM HOSP ASSOC,1.023,0587-2871
STUD MATH,1.023,0039-3223
THERMOPHYS AEROMECH+,1.023,0869-8643
AM J PHYS,1.022,0002-9505
MATER SCI-POLAND,1.022,2083-134X
QUANTUM ELECTRON+,1.022,1063-7818
J COMPUT MATH,1.021,0254-9409
ARDEA,1.02,0373-2266
COMPUT ANIMAT VIRT W,1.02,1546-4261
REV EPIDEMIOL SANTE,1.019,0398-7620
CAN J PLANT SCI,1.018,0008-4220
CANCER RADIOTHER,1.018,1278-3218
HANDCHIR MIKROCHIR P,1.018,0722-1819
J INT ADV OTOL,1.017,1308-7649
INTEGR EQUAT OPER TH,1.016,0378-620X
J NAT HIST,1.016,0022-2933
P AM MATH SOC,1.016,0002-9939
CAN J ANIM SCI,1.015,0008-3984
RADIOPROTECTION,1.015,0033-8451
CHINESE J ELECTRON,1.014,1022-4653
INT FOOD RES J,1.014,1985-4668
AD HOC SENS WIREL NE,1.013,1551-9899
J OPERAT THEOR,1.013,0379-4024
IRAN J PARASITOL,1.012,1735-7020
PATHOLOGE,1.011,0172-8113
J ARACHNOL,1.01,0161-8202
J TRAUMA NURS,1.01,1078-7496
MAPAN-J METROL SOC I,1.009,0970-3950
SAINS MALAYS,1.009,0126-6039
TERR ATMOS OCEAN SCI,1.009,1017-0839
CAN VET J,1.008,0008-5286
J INTERNET TECHNOL,1.005,1607-9264
KOREAN J MET MATER,1.005,1738-8228
TURK NEUROSURG,1.003,1019-5149
ADV CHEM PHYS,1,0065-2385
AFR J AQUAT SCI,1,1608-5914
ANASTH INTENSIVMED,1,0170-5334
ANIM BIODIV CONSERV,1,1578-665X
ANN ZOOL,1,0003-4541
ARCH ITAL BIOL,1,0003-9829
COMPUTATION STAT,1,0943-4062
EARTH MOON PLANETS,1,0167-9295
FISH B-NOAA,1,0090-0656
HOLIST NURS PRACT,1,0887-9311
INTEGR TRANSF SPEC F,1,1065-2469
INTERDISCIPL SCI REV,1,0308-0188
ITAL J AGROMETEOROL,1,2038-5625
J AQUAT PLANT MANAGE,1,0146-6623
J BIOL SYST,1,0218-3390
J CYTOL,1,0970-9371
J TROP METEOROL,1,1006-8775
KINET CATAL+,1,0023-1584
MEMBR WATER TREAT,1,2005-8624
MINERVA CHIR,1,0026-4733
MODEL IDENT CONTROL,1,0332-7353
Q J MECH APPL MATH,1,0033-5614
REV SYMB LOGIC,1,1755-0203
SEMIN VASC SURG,1,0895-7967
THEOR COMPUT,1,1557-2862
UNFALLCHIRURG,1,0177-5537
Z DTSCH GES GEOWISS,1,1860-1804
REV BRAS ENG AGR AMB,0.997,1415-4366
ACTAS UROL ESP,0.994,0210-4806
ANN ACAD SCI FENN-M,0.993,1239-629X
EUR PHYS J-APPL PHYS,0.993,1286-0042
BANACH J MATH ANAL,0.99,2662-2033
ASYMPTOTIC ANAL,0.989,0921-7134
BRAZ J PROBAB STAT,0.988,0103-0752
NAT PROD COMMUN,0.986,1934-578X
PARALLEL COMPUT,0.986,0167-8191
SB MATH+,0.986,1064-5616
APPL ENG AGRIC,0.985,0883-8542
INDIAN J MED MICROBI,0.985,0255-0857
WILLDENOWIA,0.985,0511-9618
APPL ALGEBR ENG COMM,0.984,0938-1279
J KOREAN ACAD NURS,0.984,2005-3673
KEW BULL,0.984,0075-5974
ACTA GEOL POL,0.983,0001-5709
SOCIOBIOLOGY,0.983,0361-6525
BIOCONTROL SCI,0.982,1342-4815
COMPARATIVE MED,0.982,1532-0820
POL MARIT RES,0.982,1233-2585
ASTRON REP+,0.98,1063-7729
PHIL MAG LETT,0.98,0950-0839
STOCH DYNAM,0.98,0219-4937
DISSOLUT TECHNOL,0.978,1521-298X
GASTROENTEROL NURS,0.978,1042-895X
ENVIRON PROT ENG,0.977,0324-8828
J NONLINEAR OPT PHYS,0.977,0218-8635
OPEN SYST INF DYN,0.977,1230-1612
PLASMA PHYS REP+,0.977,1063-780X
SEMICONDUCT SEMIMET,0.977,0080-8784
DISCRETE EVENT DYN S,0.976,0924-6703
QUANTUM INF COMPUT,0.976,1533-7146
ULUS TRAVMA ACIL CER,0.976,1306-696X
AIRCR ENG AEROSP TEC,0.975,1748-8842
CLIN NEPHROL,0.975,0301-0430
INDIAN J PHARM SCI,0.975,0250-474X
J COMMUN HEALTH NURS,0.974,0737-0016
CAN ENTOMOL,0.973,0008-347X
CONSERV GENET RESOUR,0.973,1877-7252
CONTROL ENG APPL INF,0.973,1454-8658
SOC HIST MED,0.973,0951-631X
TURK J MED SCI,0.973,1300-0144
PAK J BOT,0.972,0556-3321
RADIAT PROT DOSIM,0.972,0144-8420
ACM T AUTON ADAP SYS,0.971,1556-4665
J MATH-UK,0.971,2314-4629
SEMIN ORTHOD,0.97,1073-8746
ANN MAT PUR APPL,0.969,0373-3114
B KOREAN CHEM SOC,0.969,0253-2964
DISCRETE COMPUT GEOM,0.969,0179-5376
HAND SURG REHABIL,0.969,2468-1229
INT J CLOTH SCI TECH,0.969,0955-6222
INT J ENG EDUC,0.969,0949-149X
NEW MEDIT,0.969,1594-5685
NORTH-WEST J ZOOL,0.969,1584-9074
ANN I FOURIER,0.968,0373-0956
DYNAM PART DIFFER EQ,0.968,1548-159X
FOREST PROD J,0.968,0015-7473
INT J BIOSTAT,0.968,2194-573X
J INFECT DEV COUNTR,0.968,1972-2680
J FAC ENG ARCHIT GAZ,0.968,1300-1884
NIGER J CLIN PRACT,0.968,1119-3077
T ROY SOC SOUTH AUST,0.968,0372-1426
REV BRAS ZOOTECN,0.967,1516-3598
ACM T DES AUTOMAT EL,0.964,1084-4309
KYOTO J MATH,0.964,2156-2261
MATH Z,0.964,0025-5874
REV BRAS ANESTESIOL,0.964,0034-7094
DIG J NANOMATER BIOS,0.963,1842-3582
OPEN MATH,0.963,2391-5455
ALLELOPATHY J,0.962,0971-4693
BLUMEA,0.962,0006-5196
J NANOELECTRON OPTOE,0.961,1555-130X
QUIM NOVA,0.961,0100-4042
ACTA BOT MEX,0.96,0187-7151
FERROELECTRICS LETT,0.96,0731-5171
BOT SCI,0.959,2007-4298
ELECTRON T NUMER ANA,0.959,1068-9613
HORTICULT J,0.959,2189-0102
INFORM PROCESS LETT,0.959,0020-0190
NEPHROL NURS J,0.959,1526-744X
REV METAL MADRID,0.959,0034-8570
FETAL PEDIATR PATHOL,0.958,1551-3815
LAT AM J AQUAT RES,0.958,0718-560X
J EYE MOVEMENT RES,0.957,1995-8692
J WUHAN UNIV TECHNOL,0.957,1000-2413
ARCH BIOL SCI,0.956,0354-4664
INDAGAT MATH NEW SER,0.956,0019-3577
INFORM VISUAL,0.956,1473-8716
THEOR MATH PHYS+,0.956,0040-5779
ACTA MATH SIN,0.955,1439-8516
ACTA VET HUNG,0.955,0236-6290
CHIRURG,0.955,0009-4722
SOUTH MED J,0.954,0038-4348
EUR SURG,0.953,1682-8631
INVERTEBR REPROD DEV,0.952,0792-4259
RADIOENGINEERING,0.951,1210-2512
NEUES JAHRB GEOL P-A,0.95,0077-7749
J ELEMENTOL,0.949,1644-2296
J MATH SOC JPN,0.949,0025-5645
CENT EUR J ENERG MAT,0.948,1733-7178
J COSMET SCI,0.948,1525-7886
KUWAIT J SCI,0.948,2307-4108
ADV MICROBIOL-NY,0.947,0079-4252
PLAST SURG-CHIR PLAS,0.947,2292-5503
COMBUST EXPLO SHOCK+,0.946,0010-5082
EXP CLIN TRANSPLANT,0.945,1304-0855
J ELECTRON IMAGING,0.945,1017-9909
MATH COMP MODEL DYN,0.945,1387-3954
CARIBB J SCI,0.944,0008-6452
ENG STUD,0.944,1937-8629
J AUTOM REASONING,0.944,0168-7433
MAMMALIA,0.944,0025-1461
ACTA BOT CROAT,0.943,0365-0588
ACTA SOC BOT POL,0.943,0001-6977
EXPLOR GEOPHYS,0.942,0812-3985
ZBL CHIR,0.942,0044-409X
NUKLEONIKA,0.941,0029-5922
P LINN SOC N S W,0.941,0370-047X
WULFENIA,0.941,1561-882X
CAN J DIET PRACT RES,0.94,1486-3847
CERAM-SILIKATY,0.94,0862-5468
DRVNA IND,0.94,0012-6772
PERIOD MATH HUNG,0.94,0031-5303
J THEOR COMPUT CHEM,0.939,0219-6336
ACTA BIOL CRACOV BOT,0.938,0001-5296
ALGEBR NUMBER THEORY,0.938,1937-0652
APPL MATH SER B,0.938,1005-1031
OPEN LIFE SCI,0.938,2391-5412
COLLOID J+,0.937,1061-933X
SOLID FUEL CHEM+,0.937,0361-5219
PROGRAM COMPUT SOFT+,0.936,0361-7688
ADV MATH COMMUN,0.935,1930-5346
BIOMEDICA,0.935,0120-4157
STOCHASTICS,0.935,1744-2508
OIL SHALE,0.934,0208-189X
CRYPTOLOGIA,0.933,0161-1194
EPE J,0.933,0939-8368
MATH PHYS ANAL GEOM,0.933,1385-0172
ZOOL SCI,0.931,0289-0003
BANGL J PHARMACOL,0.93,1991-007X
ELECTRON RES ANNOUNC,0.929,****-****
HACET J MATH STAT,0.929,****-****
ACTA ICHTHYOL PISCAT,0.928,0137-1592
AFR HEALTH SCI,0.927,1680-6905
J THEOR APP MECH-POL,0.927,1429-2955
SEQUENTIAL ANAL,0.927,0747-4946
QUAL MANAG HEALTH CA,0.926,1063-8628
TAIWANIA,0.925,0372-333X
IEEE PULSE,0.924,2154-2287
ACTA ZOOL ACAD SCI H,0.923,1217-8837
INDIAN J PURE AP PHY,0.923,0019-5596
LOW TEMP PHYS+,0.923,1063-777X
NIHON REOROJI GAKK,0.923,0387-1533
Z ORTHOP UNFALLCHIR,0.923,1864-6697
QUAL ASSUR SAF CROP,0.922,1757-8361
AM J FOREN MED PATH,0.921,0195-7910
J NIPPON MED SCH,0.92,1345-4676
J OFF STAT,0.92,0282-423X
ZOOLOGIA-CURITIBA,0.92,1984-4689
ACM T ARCHIT CODE OP,0.919,1544-3566
CARYOLOGIA,0.918,0008-7114
HONG KONG J OCCUP TH,0.917,1569-1861
J AM MOSQUITO CONTR,0.917,8756-971X
NANOETHICS,0.917,1871-4757
STAT-US,0.917,2049-1573
ENVIRON ENG MANAG J,0.916,1582-9596
PROG UROL,0.915,1166-7087
ARCH ACOUST,0.913,0137-5075
J OCEAN U CHINA,0.913,1672-5182
MECH IND,0.913,2257-7777
ORTHOP NURS,0.913,0744-6020
REV BRAS FRUTIC,0.912,0100-2945
J CLIN ULTRASOUND,0.91,0091-2751
TRANSFORM GROUPS,0.91,1083-4362
ARCH CLIN PSYCHIAT,0.909,0101-6083
BALT J ROAD BRIDGE E,0.909,1822-427X
BAUINGENIEUR-GERMANY,0.908,0005-6650
GRADEVINAR,0.908,0350-2465
P EDINBURGH MATH SOC,0.908,0013-0915
ISR J MATH,0.907,0021-2172
FOLIA BIOL-PRAGUE,0.906,0015-5500
NEUROSCIENCES,0.906,1319-6138
B LATINOAM CARIBE PL,0.905,0717-7917
OBSERVATORY,0.905,0029-7704
SEED SCI TECHNOL,0.905,0251-0952
VERHALTENSTHERAPIE,0.905,1016-6262
PHYS MED REHAB KUROR,0.903,0940-6689
U POLITEH BUCH SER A,0.903,1223-7027
INT J AERONAUT SPACE,0.902,2093-274X
DEV GENES EVOL,0.9,0949-944X
INDIAN J HEMATOL BLO,0.9,0971-4502
PROMET-ZAGREB,0.898,0353-5320
J MECH MED BIOL,0.897,0219-5194
ARK MAT,0.896,0004-2080
MOL CRYST LIQ CRYST,0.896,1542-1406
PHYS SOLID STATE+,0.895,1063-7834
REV CONSTR,0.895,0718-915X
CHINESE J STRUC CHEM,0.893,0254-5861
COMMUN STAT-THEOR M,0.893,0361-0926
ACTA MED OKAYAMA,0.892,0386-300X
ACTA PROTOZOOL,0.892,0065-1583
HIST SCI,0.892,0073-2753
IRAN J KIDNEY DIS,0.892,1735-8582
ISR MED ASSOC J,0.892,1565-1088
J APPL ICHTHYOL,0.892,0175-8659
KYBERNETIKA,0.892,0023-5954
ERWERBS-OBSTBAU,0.891,0014-0309
MAR FRESHW BEHAV PHY,0.891,1023-6244
OPT SPECTROSC+,0.891,0030-400X
P ENTOMOL SOC WASH,0.891,0013-8797
CURR PHARM ANAL,0.89,1573-4129
INT J QUANTUM INF,0.89,0219-7499
J ALGEBRA,0.89,0021-8693
OPT REV,0.89,1340-6000
ECO MONT,0.889,2073-106X
J THEOR PROBAB,0.888,0894-9840
ANN LIMNOL-INT J LIM,0.887,0003-4088
CROAT CHEM ACTA,0.887,0011-1643
DIVING HYPERB MED,0.887,1833-3516
APPL BIOCHEM MICRO+,0.886,0003-6838
ORNITHOL SCI,0.886,1347-0558
ANN FUNCT ANAL,0.885,2639-7390
CHALCOGENIDE LETT,0.885,1584-8663
ECON COMPUT ECON CYB,0.885,0424-267X
IHERINGIA SER ZOOL,0.885,0073-4721
GLASS PHYS CHEM+,0.883,1087-6596
NURS SCI QUART,0.883,0894-3184
T JPN SOC AERONAUT S,0.882,0549-3811
APPL MATH-CZECH,0.881,0862-7940
GEOCHEM INT+,0.881,0016-7029
INDIAN J ENG MATER S,0.881,0971-4588
NEUROCASE,0.881,1355-4794
J ELECTRON TEST,0.88,0923-8174
THEOL SCI,0.88,1474-6700
INSIGHT,0.878,1354-2575
ACTA ENDOCRINOL-BUCH,0.877,1841-0987
INT J GERONTOL,0.877,1873-9598
PHYS MET METALLOGR+,0.877,0031-918X
FIBRE CHEM+,0.876,0015-0541
JPN J IND APPL MATH,0.876,0916-7005
CAN J STAT,0.875,0319-5724
CIRCUIT WORLD,0.875,0305-6120
ITAL J FOOD SCI,0.875,1120-1770
J ALGEBR COMB,0.875,0925-9899
J HYPERBOL DIFFER EQ,0.875,0219-8916
MALAWI MED J,0.875,1995-7262
PRESENCE-VIRTUAL AUG,0.875,1054-7460
COLLECT MATH,0.873,0010-0757
ARQ BRAS OFTALMOL,0.872,0004-2749
FUNKC EKVACIOJ-SER I,0.871,0532-8721
IMAGING SCI J,0.871,1368-2199
AUSTRAL J VET SCI,0.87,0719-8000
DISCRETE MATH,0.87,0012-365X
REV NEUROLOGIA,0.87,0210-0010
STAT PROBABIL LETT,0.87,0167-7152
HORTIC SCI TECHNOL,0.869,1226-8763
RUSS J GEN CHEM+,0.868,1070-3632
AKCE INT J GRAPHS CO,0.867,0972-8600
LETT ORG CHEM,0.867,1570-1786
NOISE HEALTH,0.867,1463-1741
CZECH J GENET PLANT,0.865,1212-1975
