"issn","jfull","jabbr","impact"
"0165-5515","Journal of information science","J Inf Sci",3.282
"1741-6485","Journal of information science","J Inf Sci",NA
"2378-1890","Principles and practice of clinical research (2015)","Princ Pract Clin Res",NA
"2666-3791","Cell reports. Medicine","Cell Rep Med",NA
"2334-5446","Applied radiation oncology","Appl Radiat Oncol",NA
"2662-2041","Affective science","Affect Sci",NA
"2662-205X","Affective science","Affect Sci",NA
"2372-9848","The chronicle of mentoring & coaching","Chron Mentor Coach",NA
"2578-6180","Ohio journal of public health","Ohio J Public Health",NA
"0300-9440","Progress in organic coatings","Prog Org Coat",5.161
"1873-331X","Progress in organic coatings","Prog Org Coat",NA
"2578-6512","Annals of breast cancer and therapy","Ann Breast Cancer Ther",NA
"2613-5965","Surgical case reports (Tallinn, Estonia)","Surg Case Rep (Tallinn)",NA
"0160-449X","Labor studies journal","Labor Stud J",NA
"1538-9758","Labor studies journal","Labor Stud J",NA
"2589-871X","Forensic science international. Synergy","Forensic Sci Int Synerg",NA
"2632-7376","Cerebral cortex communications","Cereb Cortex Commun",NA
"2571-631X","Vibration","Vibration",NA
"1044-8004","Human resource development quarterly","Hum Resour Dev Q",NA
"1532-1096","Human resource development quarterly","Hum Resour Dev Q",NA
"2692-0638","Journal of cellular signaling","J Cell Signal",NA
"1088-7350","AUA news","AUA News",NA
"1538-8557","AUA news","AUA News",NA
"2472-8349","Bioarchaeology international","Bioarchaeol Int",NA
"2472-8357","Bioarchaeology international","Bioarchaeol Int",NA
"2472-9884","Evolutionary studies in imaginative culture","Evol Stud Imaginative Cult",NA
"2472-9876","Evolutionary studies in imaginative culture","Evol Stud Imaginative Cult",NA
"1097-6337","The California journal of health-system pharmacy : CJHP","Calif J Health Syst Pharm",NA
"2149-2042","Medeniyet medical journal","Medeni Med J",NA
"2149-4606","Medeniyet medical journal","Medeni Med J",NA
"2627-1850","Translational biophotonics","Transl Biophotonics",NA
"2665-928X","Current research in structural biology","Curr Res Struct Biol",NA
"1927-1298","Journal of current surgery","J Curr Surg",NA
"1927-1301","Journal of current surgery","J Curr Surg",NA
"1533-1296","Election law journal","Elect Law J",NA
"1557-8062","Election law journal","Elect Law J",NA
"2424-7723","International journal of bioprinting","Int J Bioprint",6.638
"2424-8002","International journal of bioprinting","Int J Bioprint",NA
"2432-1354","Progress in rehabilitation medicine","Prog Rehabil Med",NA
"2326-697X","Journal of health economics and outcomes research","J Health Econ Outcomes Res",NA
"2327-2236","Journal of health economics and outcomes research","J Health Econ Outcomes Res",NA
"1225-729X","Soa--ch'ongsonyon chongsin uihak = Journal of child & adolescent psychiatry","Soa Chongsonyon Chongsin Uihak",NA
"2233-9183","Soa--ch'ongsonyon chongsin uihak = Journal of child & adolescent psychiatry","Soa Chongsonyon Chongsin Uihak",NA
"1938-727X","Assistive technology outcomes and benefits","Assist Technol Outcomes Benefits",NA
"1938-7261","Assistive technology outcomes and benefits","Assist Technol Outcomes Benefits",NA
"2689-5846","Recent progress in materials","Recent Prog Mater",NA
"2666-5557","Radiation medicine and protection","Radiat Med Prot",NA
"2165-0373","Journal of sustainable cement-based materials","J Sustain Cem Based Mater",4.429
"2165-0381","Journal of sustainable cement-based materials","J Sustain Cem Based Mater",NA
"2515-7647","JPhys photonics","JPhys Photonics",NA
"2666-3503","JVS-vascular science","JVS Vasc Sci",NA
"2641-435X","Data intelligence","Data Intell",NA
"2517-4843","Integrative organismal biology (Oxford, England)","Integr Org Biol",NA
"2590-1516","Contraception: X","Contracept X",NA
"2589-9368","Metabolism open","Metabol Open",NA
"2666-3899","Patterns (New York, N.Y.)","Patterns (N Y)",NA
"0743-9156","Journal of public policy & marketing : JPP&M : an annual publication of the Division of Research, Graduate School of Business Administration, the University of Michigan","J Public Policy Mark",NA
"1547-7207","Journal of public policy & marketing : JPP&M : an annual publication of the Division of Research, Graduate School of Business Administration, the University of Michigan","J Public Policy Mark",NA
"1072-5520","Interactions (New York, N.Y.)","Interactions (N Y)",NA
"1558-3449","Interactions (New York, N.Y.)","Interactions (N Y)",NA
"1910-7595","Journal of gambling issues","J Gambl Issues",NA
"2524-3489","Neurological research and practice","Neurol Res Pract",NA
"2421-3349","Research and advances in psychiatry","Res Adv Psychiatry",NA
"0920-5071","Journal of electromagnetic waves and applications","J Electromagn Waves Appl",1.335
"1569-3937","Journal of electromagnetic waves and applications","J Electromagn Waves Appl",NA
"2476-1311","Journal of forensic sciences & criminal investigation","J Forensic Sci Crim Investig",NA
"2616-8375","ITU journal : ICT discoveries","ITU J (Geneva)",NA
"2641-6247","World journal of gynecology & womens health","World J Gynecol Womens Health",NA
"2666-3473","Journal of behavioral and cognitive therapy","J Behav Cogn Ther",NA
"2589-9791","Journal of behavioral and cognitive therapy","J Behav Cogn Ther",NA
"2688-8513","Harvard data science review","Harv Data Sci Rev",NA
"2644-2353","Harvard data science review","Harv Data Sci Rev",NA
"2639-9342","Gynecology & reproductive health","Gynecol Reprod Health",NA
"2640-4567","Advanced intelligent systems (Weinheim an der Bergstrasse, Germany)","Adv Intell Syst",NA
"2352-1864","Environmental technology & innovation","Environ Technol Innov",5.263
"1556-5068","SSRN","SSRN",NA
"2101-6275","EPJ web of conferences","EPJ Web Conf",NA
"2100-014X","EPJ web of conferences","EPJ Web Conf",NA
"2637-5079","Journal of cancer science and clinical therapeutics","J Cancer Sci Clin Ther",NA
"2236-1987","Journal of nursing and health","J Nurs Health",NA
"2007-4379","Dignitas","Dignitas (Mex)",NA
"2594-2972","Dignitas","Dignitas (Mex)",NA
"2375-9771","World journal of educational research (Los Angeles, Calif.)","World J Educ Res",NA
"2333-5998","World journal of educational research (Los Angeles, Calif.)","World J Educ Res",NA
"2590-0536","Biosafety and health","Biosaf Health",NA
"1544-6123","Finance research letters","Financ Res Lett",NA
"1544-6131","Finance research letters","Financ Res Lett",NA
"2524-6372","Environmental microbiome","Environ Microbiome",NA
"2673-3005","Complex psychiatry","Complex Psychiatry",NA
"2673-298X","Complex psychiatry","Complex Psychiatry",NA
"2666-2345","Journal of immunotherapy and precision oncology","J Immunother Precis Oncol",NA
"2590-017X","Journal of immunotherapy and precision oncology","J Immunother Precis Oncol",NA
"2002-7567","Journal of endovascular resuscitation and trauma management","J Endovasc Resusc Trauma Manag",NA
"2003-539X","Journal of endovascular resuscitation and trauma management","J Endovasc Resusc Trauma Manag",NA
"2147-6454","The online journal of distance education and e-learning : TOJDEL","Online J Distance Educ Elearn",NA
"2504-284X","Frontiers in education","Front Educ (Lausanne)",NA
"0260-3055","Annals of glaciology","Ann Glaciol",2.431
"1727-5644","Annals of glaciology","Ann Glaciol",NA
"2329-5724","Texas education review (Austin, Tex.)","Tex Educ Rev (Austin)",NA
"2692-2819","Journal of experimental neurology","J Exp Neurol",NA
"2666-5018","Heart rhythm O2","Heart Rhythm O2",NA
"1035-719X","Evaluation journal of Australasia","Eval J Australas",NA
"2515-9372","Evaluation journal of Australasia","Eval J Australas",NA
"2666-5107","Techniques and innovations in gastrointestinal endoscopy","Tech Innov Gastrointest Endosc",NA
"2590-0307","Techniques and innovations in gastrointestinal endoscopy","Tech Innov Gastrointest Endosc",NA
"2329-5783","Research and Practice in the Schools : The Official Journal of the Texas Association of School Psychologists","Res Prac Sch",NA
"2333-4843","Norma, international journal for masculinity studies","Norma Int J Masc Stud",NA
"2333-486X","Norma, international journal for masculinity studies","Norma Int J Masc Stud",NA
"0272-3646","Physical geography","Phys Geogr",2.086
"1930-0557","Physical geography","Phys Geogr",NA
"1959-0318","Ingenierie et recherche biomedicale : IRBM = Biomedical engineering and research","Ing Rech Biomed",1.856
"1876-0988","Ingenierie et recherche biomedicale : IRBM = Biomedical engineering and research","Ing Rech Biomed",NA
"1613-8953","Social work & society","Soc Work Soc",NA
"0124-4108","Perspectivas en nutricion humana : organo de divulgacion academica de la Escuela de Nutricion y Dietetica de la Universidad de Antioquia","Perspect Nutr Hum",NA
"2248-454X","Perspectivas en nutricion humana : organo de divulgacion academica de la Escuela de Nutricion y Dietetica de la Universidad de Antioquia","Perspect Nutr Hum",NA
"2633-0679","RSC chemical biology","RSC Chem Biol",NA
"2344-8636","Ciencia e innovacion en salud","Cienc Innov Salud",NA
"2210-6561","Learning, culture and social interaction","Learn Cult Soc Interact",NA
"2210-657X","Learning, culture and social interaction","Learn Cult Soc Interact",NA
"2516-712X","Experimental results","Exp Results",NA
"2333-6706","Journal of human nutrition and food science","J Hum Nutr Food Sci",NA
"2562-2331","International Conference on Embedded Wireless Systems and Networks (EWSN) ...","Int Conf Embed Wirel Syst Netw",NA
"2691-1957","ACM transactions on computing for healthcare","ACM Trans Comput Healthc",NA
"2637-8051","ACM transactions on computing for healthcare","ACM Trans Comput Healthc",NA
"2468-9122","Burns open : an international open access journal for burn injuries","Burns Open",NA
"1931-3152","International multilingual research journal","Int multiling res j",NA
"1931-3160","International multilingual research journal","Int multiling res j",NA
"2699-4445","Free neuropathology","Free Neuropathol",NA
"2576-957X","Chronic pain & management","Chronic Pain Manag",NA
"2642-4878","Journal of human nutrition (Carson City, Nev.)","J Hum Nutr (Carson City)",NA
"2662-2424","Adversity and resilience science","Advers Resil Sci",NA
"2662-2416","Adversity and resilience science","Advers Resil Sci",NA
"0328-5634","Perspectivas bioeticas en las americas","Perspect Bioet Am",NA
"2211-5587","Journal of acute medicine","J Acute Med",NA
"2211-5595","Journal of acute medicine","J Acute Med",NA
"2665-9131","Osteoarthritis and cartilage open","Osteoarthr Cartil Open",NA
"1438-4957","Journal of material cycles and waste management","J Mater Cycles Waste Manag",2.863
"1611-8227","Journal of material cycles and waste management","J Mater Cycles Waste Manag",NA
"0047-2220","Journal of applied rehabilitation counseling","J Appl Rehabil Couns",NA
"2639-7641","Journal of applied rehabilitation counseling","J Appl Rehabil Couns",NA
"2689-8616","Advancements in journal of urology and nephrology","Adv J Urol Nephrol",NA
"2199-6687","Urban rail transit","Urban Rail Transit",NA
"2199-6679","Urban rail transit","Urban Rail Transit",NA
"2059-7037","NPJ clean water","NPJ Clean Water",9.378
"2544-7297","Computational and mathematical biophysics","Comput Math Biophys",NA
"2151-2957","Poroi","Poroi",NA
"2575-8314","People and nature (Hoboken, N.J.)","People Nat (Hoboken)",NA
"2688-4844","Women's health reports (New Rochelle, N.Y.)","Womens Health Rep (New Rochelle)",NA
"2590-2296","Health policy OPEN","Health Policy Open",NA
"2641-6530","PHAGE (New Rochelle, N.Y.)","Phage (New Rochelle)",NA
"2641-6549","PHAGE (New Rochelle, N.Y.)","Phage (New Rochelle)",NA
"0212-8799","Archivos de medicina del deporte : publicacion de la Federacion Espanola de Medicina del Deporte","Arch Med Deporte",NA
"2530-8971","Archivos de medicina del deporte : publicacion de la Federacion Espanola de Medicina del Deporte","Arch Med Deporte",NA
"2640-1002","Journal of surgery and research","J Surg Res (Houst)",NA
"2688-7460","Family medicine and primary care -- open access","Fam Med Prim Care Open Access",NA
"2452-2317","Human microbiome journal","Hum Microb J",NA
"2572-5017","Archives of clinical and biomedical research","Arch Clin Biomed Res",NA
"2413-8851","Urban science (Basel, Switzerland)","Urban Sci",NA
"2666-5247","The Lancet. Microbe","Lancet Microbe",NA
"1468-0777","Feminist media studies","Fem Media Stud",NA
"1471-5902","Feminist media studies","Fem Media Stud",NA
"2198-994X","Renewables: wind, water, and solar","Renew Wind Water Sol",NA
"2642-0007","NEJM catalyst innovations in care delivery","NEJM Catal Innov Care Deliv",NA
"0033-4553","Pure and applied geophysics","Pure Appl Geophys",2.335
"1420-9136","Pure and applied geophysics","Pure Appl Geophys",NA
"1661-8254","Complex analysis and operator theory","Complex Anal Oper Theory",0.843
"1661-8262","Complex analysis and operator theory","Complex Anal Oper Theory",NA
"1754-0194","Journal for eighteenth-century studies","J Eighteenth Century Stud",NA
"1754-0208","Journal for eighteenth-century studies","J Eighteenth Century Stud",NA
"1744-2508","Stochastics (Abingdon, England : 2005)","Stochastics (Abingdon)",0.935
"1744-2516","Stochastics (Abingdon, England : 2005)","Stochastics (Abingdon)",NA
"1871-5621","Morphology (Dordrecht, Netherlands)","Morphology (Dordr)",NA
"1871-5656","Morphology (Dordrecht, Netherlands)","Morphology (Dordr)",NA
"1976-0485","International journal of concrete structures & materials","Int J Concr Struct Mater",2.483
"2234-1315","International journal of concrete structures & materials","Int J Concr Struct Mater",NA
"0967-828X","South East Asia research","South East Asia Res",NA
"2043-6874","South East Asia research","South East Asia Res",NA
"1664-2376","Swiss journal of palaeontology","Swiss J Palaeontol",1.426
"1664-2384","Swiss journal of palaeontology","Swiss J Palaeontol",NA
"2380-9418","Journal of doctoral nursing practice","J Dr Nurs Pract",NA
"2380-9426","Journal of doctoral nursing practice","J Dr Nurs Pract",NA
"2472-5625","Modern rheumatology case reports","Mod Rheumatol Case Rep",NA
"2666-6359","Med (New York, N.Y.)","Med (N Y)",NA
"2666-6340","Med (New York, N.Y.)","Med (N Y)",NA
"2666-6677","American journal of preventive cardiology","Am J Prev Cardiol",NA
"1949-1190","Journal of pipeline systems engineering and practice","J Pipeline Syst Eng Pract",1.952
"1949-1204","Journal of pipeline systems engineering and practice","J Pipeline Syst Eng Pract",NA
"2158-2246","Conference on Human System Interactions : [proceedings]. International Conference on Human System Interaction","Conf Human Syst Interact",NA
"2158-2254","Conference on Human System Interactions : [proceedings]. International Conference on Human System Interaction","Conf Human Syst Interact",NA
"0022-0574","Journal of education (Boston, Mass.)","J Educ (Boston)",NA
"2515-5741","Journal of education (Boston, Mass.)","J Educ (Boston)",NA
"2643-8879","... IEEE Sarnoff Symposium. IEEE Sarnoff Symposium","IEEE Sarnoff Symp",NA
"2643-8887","... IEEE Sarnoff Symposium. IEEE Sarnoff Symposium","IEEE Sarnoff Symp",NA
"2253-2218","Energy and emission control technologies","Energy Emiss Control Technol",NA
"0121-0807","Salud UIS : revista de la Universidad Industrial de Santander, Facultad de Salud","Salud UIS",NA
"2145-8464","Salud UIS : revista de la Universidad Industrial de Santander, Facultad de Salud","Salud UIS",NA
"0010-3616","Communications in mathematical physics","Commun Math Phys",2.386
"1432-0916","Communications in mathematical physics","Commun Math Phys",NA
"2690-5949","Network and systems medicine","Netw Syst Med",NA
"2499-7552","Research in psychotherapy (Milano)","Res Psychother",NA
"2239-8031","Research in psychotherapy (Milano)","Res Psychother",NA
"2673-3897","Reproductive medicine (Basel, Switzerland)","Reprod Med (Basel)",NA
"2472-5749","Online learning : the official journal of the Online Learning Consortium","Online Learn",NA
"2472-5730","Online learning : the official journal of the Online Learning Consortium","Online Learn",NA
"2674-2489","Journal of integrative cardiology open access","J Integr Cardiol Open Access",NA
"2326-6988","Inclusion (Washington, D.C.)","Inclusion (Wash)",NA
"2637-4269","Journal of precision respiratory medicine","J Precis Respir Med",NA
"2637-4277","Journal of precision respiratory medicine","J Precis Respir Med",NA
"2476-0501","Open access journal of neurology & neurosurgery","Open Access J Neurol Neurosurg",NA
"2512-8442","European journal of health psychology","Eur J Health Psychol",NA
"2512-8450","European journal of health psychology","Eur J Health Psychol",NA
"2096-6954","Maternal-fetal medicine (Wolters Kluwer Health, Inc.)","Matern Fetal Med",NA
"2641-5895","Maternal-fetal medicine (Wolters Kluwer Health, Inc.)","Matern Fetal Med",NA
"0966-0356","Scottish affairs","Scott Aff",NA
"2053-888X","Scottish affairs","Scott Aff",NA
"2666-3864","Cell reports. Physical science","Cell Rep Phys Sci",NA
"2590-0420","The journal of pediatrics: X","J Pediatr X",NA
"0177-7963","Few-body systems","Few Body Syst",1.362
"1432-5411","Few-body systems","Few Body Syst",NA
"1387-585X","Environment, development and sustainability","Environ Dev Sustain",3.219
"1573-2975","Environment, development and sustainability","Environ Dev Sustain",NA
"2095-6355","Forest ecosystems","For Ecosyst",3.645
"2197-5620","Forest ecosystems","For Ecosyst",NA
"1434-6001","The European physical journal. A, Hadrons and nuclei","Eur Phys J A Hadron Nucl",3.043
"1434-601X","The European physical journal. A, Hadrons and nuclei","Eur Phys J A Hadron Nucl",NA
"0961-463X","Time & society","Time Soc",NA
"1461-7463","Time & society","Time Soc",NA
"1542-7528","Journal of crop improvement","J Crop Improv",NA
"1542-7536","Journal of crop improvement","J Crop Improv",NA
"1861-1125","Acta geotechnica","Acta Geotech",5.856
"1861-1133","Acta geotechnica","Acta Geotech",NA
"1748-5983","Regulation & governance","Regul Gov",NA
"1748-5991","Regulation & governance","Regul Gov",NA
"2524-4655","One health outlook","One Health Outlook",NA
"0363-907X","International journal of energy research","Int J Energy Res",5.164
"1099-114X","International journal of energy research","Int J Energy Res",NA
"2590-1370","Biosensors & bioelectronics: X","Biosens Bioelectron X",NA
"0025-3235","Marine geophysical researches","Mar Geophys Res (Dordr)",2.693
"1573-0581","Marine geophysical researches","Mar Geophys Res (Dordr)",NA
"2665-9441","Current research in physiology","Curr Res Physiol",NA
"2666-142X","International journal of nursing studies advances","Int J Nurs Stud Adv",NA
"2590-3462","Plant communications","Plant Commun",NA
"1385-1314","Nutrient cycling in agroecosystems","Nutr Cycl Agroecosyst",3.27
"1573-0867","Nutrient cycling in agroecosystems","Nutr Cycl Agroecosyst",NA
"2192-5372","Journal of innovation and entrepreneurship","J Innov Entrep",NA
"1664-2368","Analysis and mathematical physics","Anal Math Phys",1.548
"1664-235X","Analysis and mathematical physics","Anal Math Phys",NA
"2520-1034","Journal of packaging technology and research","J Packag Technol Res",NA
"2520-1042","Journal of packaging technology and research","J Packag Technol Res",NA
"1382-3256","Empirical software engineering","Empir Softw Eng",2.522
"1573-7616","Empirical software engineering","Empir Softw Eng",NA
"1360-4813","City (London, England)","City (Lond)",NA
"1470-3629","City (London, England)","City (Lond)",NA
"1354-5078","Nations and nationalism","Nations Natl",NA
"1469-8129","Nations and nationalism","Nations Natl",NA
"0922-6435","Experimental astronomy","Exp Astron (Dordr)",2.012
"1572-9508","Experimental astronomy","Exp Astron (Dordr)",NA
"2475-5389","Journal for the anthropology of North America","J Anthropol N Am",NA
"0749-6419","International journal of plasticity","Int J Plast",7.081
"1879-2154","International journal of plasticity","Int J Plast",NA
"2689-0186","JAMA health forum","JAMA Health Forum",NA
"2666-1667","STAR protocols","STAR Protoc",NA
"2305-221X","Vietnam journal of mathematics","Vietnam J Math",NA
"2305-2228","Vietnam journal of mathematics","Vietnam J Math",NA
"0001-9054","Aequationes mathematicae","Aequ Math",0.832
"1420-8903","Aequationes mathematicae","Aequ Math",NA
"2364-1185","Data science and engineering","Data Sci Eng",NA
"2364-1541","Data science and engineering","Data Sci Eng",NA
"2509-9507","Corpus pragmatics : international journal of corpus linguistics and pragmatics","Corpus Pragmat",NA
"2509-9515","Corpus pragmatics : international journal of corpus linguistics and pragmatics","Corpus Pragmat",NA
"0938-2259","Economic theory","Econ Theory",NA
"1432-0479","Economic theory","Econ Theory",NA
"2510-523X","EURASIP journal on information security","EURASIP J Inf Secur",NA
"0926-2644","Group decision and negotiation","Group Decis Negot",NA
"1572-9907","Group decision and negotiation","Group Decis Negot",NA
"2517-7389","Journal of dentistry and dental medicine","J Dent Dent Med",NA
"2690-1803","Aging pathobiology and therapeutics","Aging Pathobiol Ther",NA
"0353-5150","Acta analytica : philosophy and psychology","Acta Anal",NA
"1874-6349","Acta analytica : philosophy and psychology","Acta Anal",NA
"2632-8674","NAR cancer","NAR Cancer",NA
"0899-1995","Adult residential care journal","Adult Resid Care J",NA
"2689-5269","International journal of transgender health","Int J Transgend Health",0
"2689-5277","International journal of transgender health","Int J Transgend Health",NA
"2096-7071","China CDC weekly","China CDC Wkly",NA
"8756-6559","Adult foster care journal : AFCJ","Adult Foster Care J",NA
"2230-7214","Indian obstetrics & gynaecology","Indian Obstet Gynaecol",NA
"2455-6017","Indian obstetrics & gynaecology","Indian Obstet Gynaecol",NA
"2666-2507","JTCVS techniques","JTCVS Tech",NA
"1349-1032","The Okinawan journal of American studies","Okinawan J Am Stud",NA
"2590-2806","Urine (Amsterdam, Netherlands)","Urine (Amst)",NA
"2153-6996","IEEE International Geoscience and Remote Sensing Symposium proceedings. International Geoscience and Remote Sensing Symposium","IEEE Int Geosci Remote Sens Symp Proc",NA
"2153-7003","IEEE International Geoscience and Remote Sensing Symposium proceedings. International Geoscience and Remote Sensing Symposium","IEEE Int Geosci Remote Sens Symp Proc",NA
"2524-8138","BMC materials","BMC Mater",NA
"1569-7339","Handbook of behavioral neuroscience","Handb Behav Neurosci",NA
"2212-1080","Handbook of behavioral neuroscience","Handb Behav Neurosci",NA
"2699-9404","Global medical genetics","Glob Med Genet",NA
"2433-328X","JMA journal","JMA J",NA
"2433-3298","JMA journal","JMA J",NA
"1323-3580","Publications of the Astronomical Society of Australia : PASA","Publ Astron Soc Aust",5.571
"1448-6083","Publications of the Astronomical Society of Australia : PASA","Publ Astron Soc Aust",NA
"2632-3338","The planetary science journal","Planet Sci J",NA
"2364-5040","International journal of applied positive psychology","Int J Appl Posit Psychol",NA
"2364-5059","International journal of applied positive psychology","Int J Appl Posit Psychol",NA
"2057-2093","Journal of cybersecurity","J Cybersecur",NA
"2399-6528","Journal of physics communications","J Phys Commun",NA
"1348-8643","Oral science international","Oral Sci Int",NA
"1881-4204","Oral science international","Oral Sci Int",NA
"2589-8450","Surgery open science","Surg Open Sci",NA
"2688-0261","Journal of participatory research methods","J Particip Res Methods",NA
"2328-7837","Psychology and behavioral sciences (New York, N.Y. 2012)","Psychol Behav Sci",NA
"2328-7845","Psychology and behavioral sciences (New York, N.Y. 2012)","Psychol Behav Sci",NA
"2563-3570","JMIR bioinformatics and biotechnology","JMIR Bioinform Biotech",NA
"2691-7971","Archives of medical case reports","Arch Med Case Rep",NA
"0733-950X","Journal of waterway, port, coastal, and ocean engineering","J Waterw Port Coast Ocean Eng",2.208
"1943-5460","Journal of waterway, port, coastal, and ocean engineering","J Waterw Port Coast Ocean Eng",NA
"2571-905X","Stats","Stats (Basel)",NA
"2688-2663","MedComm","MedComm (2020)",NA
"2691-3593","Annals of surgery open : perspectives of surgical history, education, and clinical approaches","Ann Surg Open",NA
"2577-8196","Engineering reports : open access","Eng Rep",NA
"2643-7856","Journal of emergency medicine forecast","J Emerg Med Forecast",NA
"2059-2043","Music & science","Music Sci (Lond)",NA
"2666-3643","JTO clinical and research reports","JTO Clin Res Rep",NA
"1682-0363","Biulleten' Sibirskoi meditsiny","Biulleten Sib Meditsiny",NA
"1819-3684","Biulleten' Sibirskoi meditsiny","Biulleten Sib Meditsiny",NA
"2589-868X","International journal of medical and biomedical studies","Int J Med Biomed Stud",NA
"2589-8698","International journal of medical and biomedical studies","Int J Med Biomed Stud",NA
"2516-7065","Global medicine and therapeutics","Glob Med Ther",NA
"2616-2768","Therapeutic radiology and oncology","Ther Radiol Oncol",NA
"2079-6412","Coatings (Basel, Switzerland)","Coatings (Basel)",NA
"2692-8280","Archives of clinical toxicology","Arch Clin Toxicol (Middlet)",NA
"2384-5589","African journal of medical and health sciences","Afr J Med Health Sci",NA
"2468-8207","African journal of medical and health sciences","Afr J Med Health Sci",NA
"0217-7323","Modern physics letters A","Mod Phys Lett A",2.066
"1793-6632","Modern physics letters A","Mod Phys Lett A",NA
"0971-7927","The Indian journal of labour economics : the quarterly journal of the Indian Society of Labour Economics","Indian J Labour Econ",NA
"0019-5308","The Indian journal of labour economics : the quarterly journal of the Indian Society of Labour Economics","Indian J Labour Econ",NA
"2633-5409","Materials advances","Mater Adv",NA
"0197-6729","Journal of advanced transportation","J Adv Transp",2.419
"2042-3195","Journal of advanced transportation","J Adv Transp",NA
"2397-4648","npj quantum materials","NPJ Quantum Mater",NA
"1891-5469","Journal of electrical bioimpedance","J Electr Bioimpedance",NA
"2223-8956","Tzu chi medical journal","Tzu Chi Med J",NA
"2056-9157","Journal of nursing (Luton, England)","J Nurs (Luton)",NA
"2367-4253","Journal of digital landscape architecture : JoDLA","J Digit Landsc Archit",NA
"2511-624X","Journal of digital landscape architecture : JoDLA","J Digit Landsc Archit",NA
"1551-7004","ARKIVOC : free online journal of organic chemistry","ARKIVOC",1.14
"1551-7012","ARKIVOC : free online journal of organic chemistry","ARKIVOC",NA
"2632-7899","Schizophrenia bulletin open","Schizophr Bull Open",NA
"2381-7313","Jacobs journal of gerontology","Jacobs J Gerontol",NA
"2214-2428","GeoResJ","GeoResJ",NA
"2673-1665","Microbial physiology","Microb Physiol",0
"2673-1673","Microbial physiology","Microb Physiol",NA
"0019-6673","Indiana magazine of history","Indiana Mag Hist",NA
"0887-1086","Industry and health care (Ballinger Publishing Co.)","Ind Health Care (Cambridge Ma)",NA
"2730-5937","Biomedical engineering education","Biomed Eng Educ",NA
"2730-5945","Biomedical engineering education","Biomed Eng Educ",NA
"2524-5279","Socio-ecological practice research","Socioecol Pract Res",NA
"2524-5287","Socio-ecological practice research","Socioecol Pract Res",NA
"1631-0713","Collection Comptes rendus. Geoscience","Collect C R Geosci",2.241
"1778-7025","Collection Comptes rendus. Geoscience","Collect C R Geosci",NA
"0923-2958","Celestial mechanics and dynamical astronomy","Celest Mech Dyn Astron",1.664
"1572-9478","Celestial mechanics and dynamical astronomy","Celest Mech Dyn Astron",NA
"1868-2529","Electrocatalysis (New York, N.Y.)","Electrocatalysis (N Y)",2.713
"1868-5994","Electrocatalysis (New York, N.Y.)","Electrocatalysis (N Y)",NA
"2624-909X","Frontiers in big data","Front Big Data",NA
"0246-0203","Annales de l'I.H.P. Probabilites et statistiques","Ann I H P Probab Stat",1.851
"1778-7017","Annales de l'I.H.P. Probabilites et statistiques","Ann I H P Probab Stat",NA
"2643-8909","Aging and cancer","Aging Cancer",NA
"2733-7545","Physical activity and nutrition","Phys Act Nutr",NA
"2218-6239","World journal of ophthalmology","World J Ophthalmol",NA
"2454-7395","Statistics and applications","Stat Appl",NA
"1478-4726","British paramedic journal","Br Paramed J",NA
"2499-2240","Journal of health and social sciences","J Health Soc Sci",NA
"2499-5886","Journal of health and social sciences","J Health Soc Sci",NA
"2624-8212","Frontiers in artificial intelligence","Front Artif Intell",NA
"2640-205X","American economic review. Insights","Am Econ Rev Insights",NA
"2640-2068","American economic review. Insights","Am Econ Rev Insights",NA
"1043-2094","Against the grain (Charleston, S.C.)","Against Grain (Charlest)",NA
"2380-176X","Against the grain (Charleston, S.C.)","Against Grain (Charlest)",NA
"2076-3298","Environments (Basel, Switzerland)","Environments (Basel)",NA
"2692-3114","Exploration of targeted anti-tumor therapy","Explor Target Antitumor Ther",NA
"2689-2820","Palliative medicine reports","Palliat Med Rep",NA
"2633-8823","Function (Oxford, England)","Function (Oxf)",NA
"2567-3173","EcoMat","EcoMat",NA
"2637-773X","Novel approaches in cancer study","Nov Approaches Cancer Study",NA
"1578-7303","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A, Matematicas","Rev R Acad Cienc Exactas Fis Nat A Mat",2.169
"1579-1505","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A, Matematicas","Rev R Acad Cienc Exactas Fis Nat A Mat",NA
"0093-4690","Journal of field archaeology","J Field Archaeol",NA
"2042-4582","Journal of field archaeology","J Field Archaeol",NA
"2524-4906","Quantum machine intelligence","Quantum Mach Intell",NA
"2524-4914","Quantum machine intelligence","Quantum Mach Intell",NA
"2633-6960","Oxford open immunology","Oxf Open Immunol",NA
"2662-2963","SN partial differential equations and applications","SN Partial Differ Equ Appl",NA
"2662-2971","SN partial differential equations and applications","SN Partial Differ Equ Appl",NA
"0894-9840","Journal of theoretical probability","J Theor Probab",0.888
"1572-9230","Journal of theoretical probability","J Theor Probab",NA
"2690-1919","Journal of clinical research and reports","J Clin Res Rep",NA
"2666-4690","Journal of photochemistry and photobiology","J Photochem Photobiol",NA
"2096-5540","International journal of dermatology and venereology","Int J Dermatol Venereol",NA
"2641-8746","International journal of dermatology and venereology","Int J Dermatol Venereol",NA
"1740-3812","Philosophy of management","Philos Manag",NA
